model,accuracy,precision,recall,f1,latency_us,accuracy_std,precision_std,recall_std,f1_std,latency_us_std,size_kb,trained_on_n_samples,best_params
Logistic Regression,0.7948999999999999,0.874966612818438,0.7916927899686521,0.8312002382936686,1444.4578000111505,0.008817028978062873,0.007029034676867833,0.011992388252908189,0.007927465519367995,49.02958624736153,2.0009765625,8000,{'model__C': 0.1}
Decision Tree,0.8513999999999999,0.9053572274451616,0.8568965517241379,0.8803585748975825,1468.3237400022335,0.003979949748426483,0.010804208764188736,0.008957512264720701,0.002767589439243817,156.56066340137912,51.5966796875,8000,"{'model__max_depth': None, 'model__min_samples_leaf': 10}"
Random Forest,0.9177,0.9270211825631041,0.9454545454545455,0.9361414628834785,14135.98516001366,0.006562011886609175,0.006148034382954938,0.004820864106341614,0.005042258567641818,559.1966155885377,13071.626953125,8000,"{'model__max_depth': 10, 'model__n_estimators': 200}"
Gradient Boosting (XGBoost),0.9491999999999999,0.9518702965084685,0.9694357366771161,0.9605579466299685,1922.53663999727,0.003695943722515289,0.005532414588605988,0.003574217633539641,0.0027930753561422545,67.45230900992574,465.494140625,8000,"{'model__learning_rate': 0.3, 'model__max_depth': 5, 'model__n_estimators': 200}"
Multi-Layer Perceptron (Full),0.9455,0.954322527359517,0.9606583072100314,0.9574460509670809,1389.7050799801946,0.00728697468089466,0.00940474199985191,0.0060785954324969705,0.005570350866955498,28.201926199947078,79.3759765625,8000,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64, 32)}"
Multi-Layer Perceptron (Compact),0.9138999999999999,0.928004042345919,0.9379310344827587,0.9329209473371,1439.9702799855731,0.012788275880665058,0.013163666232108441,0.00705154976752475,0.009695816927499613,126.48066449426719,16.0009765625,8000,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,)}"
TabPFN (Tabular Foundation Model),0.968,0.9745639855765693,0.9753134796238245,0.9749312647289866,125588622.15000166,0.0,0.002601368754139355,0.0027429467084639225,6.873527101336485e-05,1919610.749998048,211984.2158203125,5000,{}
